pair,dataset,rate,group,baseline_n,baseline_img_mean,baseline_img_std,baseline_img_min,baseline_img_median,baseline_img_max,baseline_attr_mean,baseline_attr_std,baseline_attr_min,baseline_attr_median,baseline_attr_max,baseline_rel_mean,baseline_rel_std,baseline_rel_min,baseline_rel_median,baseline_rel_max,baseline_graph_mean,baseline_graph_std,baseline_graph_min,baseline_graph_median,baseline_graph_max,baseline_entropy_mean,baseline_entropy_std,baseline_entropy_median,cdmr_n,cdmr_img_mean,cdmr_img_std,cdmr_img_min,cdmr_img_median,cdmr_img_max,cdmr_attr_mean,cdmr_attr_std,cdmr_attr_min,cdmr_attr_median,cdmr_attr_max,cdmr_rel_mean,cdmr_rel_std,cdmr_rel_min,cdmr_rel_median,cdmr_rel_max,cdmr_graph_mean,cdmr_graph_std,cdmr_graph_min,cdmr_graph_median,cdmr_graph_max,cdmr_entropy_mean,cdmr_entropy_std,cdmr_entropy_median,delta_n,delta_img_mean,delta_img_std,delta_img_min,delta_img_median,delta_img_max,delta_attr_mean,delta_attr_std,delta_attr_min,delta_attr_median,delta_attr_max,delta_rel_mean,delta_rel_std,delta_rel_min,delta_rel_median,delta_rel_max,delta_graph_mean,delta_graph_std,delta_graph_min,delta_graph_median,delta_graph_max,delta_entropy_mean,delta_entropy_std,delta_entropy_median
FBDB15K_r02,FBDB15K,0.2,all,10277,0.2739282961823521,0.020920618312824126,0.09625513106584549,0.2737090587615967,0.3768009841442108,0.262318429440605,0.020413669616327387,0.09625513106584549,0.2647089660167694,0.31979846954345703,0.18987818147562655,0.049008127060691783,0.1425584852695465,0.17793725430965424,0.7112345695495605,0.27387509282674377,0.020733542554164597,0.09625513106584549,0.2743169963359833,0.38705119490623474,1.368205479107733,0.023834151980093584,1.3706782607405332,10277,0.20410037712038429,0.032855351782700465,0.06432387977838516,0.20027223229408264,0.3607940673828125,0.2684973161393907,0.0435484357538618,0.08550676703453064,0.25021296739578247,0.3658086359500885,0.1630514999689371,0.0596010609379066,0.100504569709301,0.14622077345848083,0.7112343311309814,0.36435080636530126,0.05906267255141774,0.09625519812107086,0.35516923666000366,0.5193641781806946,1.3207806916854696,0.039628366850943585,1.326605813473678,10277,-0.06982791906196784,0.03457934523835027,-0.1301625370979309,-0.07291297614574432,0.0004214048385620117,0.006178886698785663,0.030712738383791655,-0.04110381007194519,0.0021249055862426758,0.04984138906002045,-0.026826681506689435,0.021432179473411427,-0.09727495908737183,-0.039940088987350464,0.0014112889766693115,0.09047571353855748,0.04872914960071923,-5.960464477539063e-08,0.07471492886543274,0.16560786962509155,0.250097278750289,0.11118143321738906,0.30690733009629395
FBDB15K_r02,FBDB15K,0.2,baseline_correct,5427,0.2750539687735524,0.01742387144406153,0.101597361266613,0.2743193805217743,0.3768009841442108,0.26641152692182696,0.018695284941158092,0.10155955702066422,0.27032923698425293,0.31979846954345703,0.1834406184599899,0.03749278424401186,0.1431511491537094,0.1726323515176773,0.695249617099762,0.2750938858020716,0.017121988175237485,0.10159340500831604,0.27517029643058777,0.37735992670059204,1.3683789334838252,0.015096507928846353,1.3683476714512024,5427,0.199466652277207,0.025786824193349187,0.0941099002957344,0.199929341673851,0.34493935108184814,0.28060987597921394,0.04486729202560846,0.10155955702066422,0.2808133065700531,0.3658086359500885,0.15166721241220885,0.04922178927058818,0.10158322006464005,0.13282173871994019,0.695249617099762,0.3682562583332917,0.04914984744869268,0.10159341245889664,0.3526287078857422,0.5093018412590027,1.3165476388591844,0.033035527103917155,1.319788403650102,5427,-0.07558731649634542,0.02703050456887806,-0.12927159667015076,-0.07351389527320862,0.0004118382930755615,0.014198349057387006,0.03183917461368318,-0.040543749928474426,0.009005963802337646,0.04984138906002045,-0.03177340604778107,0.02020671758744117,-0.0894651710987091,-0.04221837967634201,0.0006316602230072021,0.09316237253122003,0.04059723787463672,-2.9802322387695312e-08,0.07370495796203613,0.16560786962509155,0.28124263678440437,0.08436345269380437,0.3229696083384926
FBDB15K_r02,FBDB15K,0.2,cdmr_correct,6014,0.2758207342673823,0.017843074498615406,0.101597361266613,0.27469103038311005,0.3768009841442108,0.26569947803168154,0.01901147262134004,0.10155955702066422,0.2696119397878647,0.31979846954345703,0.18270590999245762,0.037308284888333834,0.1431511491537094,0.17147335410118103,0.695249617099762,0.27577387795501423,0.01746350039698878,0.10159340500831604,0.2755220979452133,0.37735992670059204,1.3680165004480527,0.015045971588592475,1.3679621226401282,6014,0.1990190227244992,0.0251006865923402,0.0941099002957344,0.19967412948608398,0.34493935108184814,0.2788919700123184,0.044857966758770296,0.10155955702066422,0.27692824602127075,0.3658086359500885,0.1508491284548146,0.04884462796456841,0.10158322006464005,0.13234711438417435,0.695249617099762,0.3712398781814982,0.05028332676875957,0.10159341245889664,0.3533896952867508,0.5093018412590027,1.315076158116595,0.033713496381541704,1.319162033015008,6014,-0.07680171154288307,0.02707621100668401,-0.1301625370979309,-0.07365966588258743,0.0004118382930755615,0.013192491980636878,0.03183246816373029,-0.040543749928474426,0.005206659436225891,0.04984138906002045,-0.031856781537643014,0.02003804372633139,-0.0894651710987091,-0.04228324815630913,0.0006316602230072021,0.09546600022648394,0.040909072284377,-2.9802322387695312e-08,0.07386015355587006,0.1652851104736328,0.2823363290219141,0.08157914334807306,0.31870130057322066
FBDB15K_r02,FBDB15K,0.2,both_correct,5118,0.2751343687730592,0.017309627805427528,0.101597361266613,0.274440661072731,0.3768009841442108,0.2668680834506419,0.018646524332695442,0.10155955702066422,0.2710682451725006,0.31979846954345703,0.18280897271171964,0.037307434016698476,0.1431511491537094,0.17149505764245987,0.695249617099762,0.2751885752203456,0.017006260013547804,0.10159340500831604,0.2752826660871506,0.37735992670059204,1.3681896710200236,0.015193191479213837,1.3679532332885507,5118,0.19959924416343605,0.02558346047546919,0.0941099002957344,0.2000332623720169,0.34493935108184814,0.2819668707911299,0.04476350586408732,0.10155955702066422,0.2994295060634613,0.3658086359500885,0.15067967711778626,0.048852942243824464,0.10158322006464005,0.1321522742509842,0.695249617099762,0.36775420697121336,0.04881198702701969,0.10159341245889664,0.3523573875427246,0.5093018412590027,1.316308125839676,0.032796282568055994,1.319310852791888,5118,-0.07553512460962317,0.026769981851356223,-0.12927159667015076,-0.0734596997499466,0.0004118382930755615,0.01509878734048804,0.031730035670371144,-0.040543749928474426,0.042359545826911926,0.04984138906002045,-0.03212929559393337,0.020064487120375722,-0.0894651710987091,-0.04231885448098183,0.0006316602230072021,0.09256563175086772,0.04028342900293165,-2.9802322387695312e-08,0.07363958656787872,0.1652851104736328,0.2824827176550607,0.08379786118381342,0.32399157282603314
FBDB15K_r02,FBDB15K,0.2,both_wrong,3954,0.27106601285494275,0.024717762127065737,0.09625513106584549,0.27173352241516113,0.3607940673828125,0.25744697343808687,0.02159574376710763,0.09625513106584549,0.2598697990179062,0.30368372797966003,0.2004726389192184,0.061766052129817436,0.1425584852695465,0.19032195955514908,0.7112345695495605,0.2710143744787244,0.024737813924877436,0.09625513106584549,0.27220287919044495,0.38705119490623474,1.3682343802122772,0.033437184565890475,1.3744287829080664,3954,0.2123628180882939,0.04087955931104478,0.06432387977838516,0.20278332382440567,0.3607940673828125,0.25349703036930804,0.03665166975784707,0.08550676703453064,0.24061695486307144,0.3481188416481018,0.1812226182046748,0.06950918848493333,0.100504569709301,0.1694379523396492,0.7112343311309814,0.35291753336787224,0.06914240639054346,0.09625519812107086,0.3658694475889206,0.5193641781806946,1.32947802364619,0.04608075611555263,1.3399234530473834,3954,-0.0587031947666488,0.04143020735824734,-0.12829852104187012,-0.06788615882396698,0.0004214048385620117,-0.00394994306877881,0.025682101139110947,-0.04110381007194519,0.0,0.049822062253952026,-0.019250020714543598,0.021231290552558218,-0.09727495908737183,-0.0010614991188049316,0.0014112889766693115,0.08190315888914787,0.05787059439509363,-5.960464477539063e-08,0.11307290196418762,0.16531696915626526,0.20023313356311745,0.1314759231799949,0.2512913315082077
FBDB15K_r02,FBDB15K,0.2,rescued,896,0.2797412907405357,0.020184810340359655,0.16845908761024475,0.2762432098388672,0.3444417119026184,0.2590243412747181,0.019687053035285156,0.16855916380882263,0.2615215629339218,0.3043411374092102,0.18211721021881594,0.03730768727783887,0.1442589908838272,0.17140616476535797,0.49341240525245667,0.2791171585309452,0.019541416904633426,0.1691589206457138,0.27670882642269135,0.3273739516735077,1.36702734086396,0.014135153875139143,1.3679774434692833,896,0.19570476678200066,0.021848776482085542,0.1340625286102295,0.19439417123794556,0.3002116084098816,0.26132797203691943,0.04120791522980578,0.15514151751995087,0.23880992084741592,0.3480801582336426,0.1518170435696707,0.04878582777876848,0.10182493925094604,0.1339424103498459,0.45137497782707214,0.3911502188670316,0.0538091461294411,0.23857858777046204,0.3796025663614273,0.49013930559158325,1.308039092484087,0.037773885710229105,1.3180928052616716,896,-0.08403652395853507,0.027673142037987875,-0.1301625370979309,-0.08015454560518265,0.00039818882942199707,0.0023036307622013347,0.030185621728181945,-0.03545086085796356,0.0029388144612312317,0.0495644211769104,-0.030300166649145206,0.019814606148279672,-0.08924618363380432,-0.0416608527302742,0.00044192373752593994,0.11203306033608637,0.04051163317066431,-2.9802322387695312e-08,0.11694692075252533,0.1642109751701355,0.2815001493071326,0.06751622238761328,0.31056188039108495
FBDB15K_r02,FBDB15K,0.2,harmed,309,0.2737222949953141,0.019168584439982497,0.1966295689344406,0.2719796597957611,0.3279385566711426,0.2588495323766011,0.0178615704551342,0.19753648340702057,0.2600027024745941,0.2954103946685791,0.19390263444590336,0.03897796364128723,0.14438676834106445,0.1859668493270874,0.4084249436855316,0.2735255348547377,0.018867217208991628,0.19740895926952362,0.27224671840667725,0.31847599148750305,1.3715137078842634,0.012999197207644177,1.373929540856853,309,0.19727051870529705,0.028859633339403203,0.13126333057880402,0.1950000822544098,0.2947017550468445,0.25813382598767387,0.04039156392027869,0.1753450334072113,0.23655246198177338,0.3390260636806488,0.16802386495866437,0.05232833842833804,0.10216466337442398,0.1593620330095291,0.4078584313392639,0.3765717886605309,0.05376412232568658,0.24454523622989655,0.3731875717639923,0.4840838611125946,1.320514718580358,0.03654484163907679,1.3302679707428755,309,-0.07645177629001704,0.031016260196406242,-0.12617886066436768,-0.07469598948955536,0.0004073679447174072,-0.0007157063889272004,0.029879551404240538,-0.03457219898700714,0.0,0.04710081219673157,-0.02587876948723901,0.021594834816942406,-0.08147090673446655,-0.02573050558567047,0.0002635568380355835,0.10304625380579321,0.04432759733500019,-2.9802322387695312e-08,0.11510506272315979,0.16560786962509155,0.2607030448879016,0.09080293924117326,0.2553968315689974
FBDB15K_r02,FBDB15K,0.2,type_consistent,9747,0.27423664598409564,0.020693140938954663,0.09625513106584549,0.273711621761322,0.3768009841442108,0.2623069880428382,0.020262256433860662,0.09625513106584549,0.26448020339012146,0.31979846954345703,0.1892558106908165,0.0475518328699683,0.1425584852695465,0.1776745319366455,0.7112345695495605,0.27420055516988323,0.02049345907117989,0.09625513106584549,0.2743564546108246,0.38705119490623474,1.368286247811245,0.022897596495833762,1.3705865284146812,9747,0.20260183917454258,0.03160592476987743,0.06432387977838516,0.1997743397951126,0.3607940673828125,0.2683829114061203,0.04382313502719129,0.08550676703453064,0.24744565784931183,0.3658086359500885,0.1617811578805109,0.058240713190255186,0.100504569709301,0.14597460627555847,0.7111355662345886,0.3672340910878318,0.05770548509311597,0.09628831595182419,0.3569135069847107,0.5193641781806946,1.3195405363146553,0.03901146561166119,1.3258327838114967,9747,-0.07163480680955304,0.033300247038612195,-0.1301625370979309,-0.07303734123706818,0.0004214048385620117,0.006075923363282104,0.031042560484878277,-0.04110381007194519,0.002437412738800049,0.04984138906002045,-0.027474652810305634,0.02123612885722213,-0.09727495908737183,-0.04026959091424942,0.0013083219528198242,0.09303353591794856,0.04730970999500737,-5.960464477539063e-08,0.10975739359855652,0.16560786962509155,0.2560803447879405,0.10517762594653883,0.3084733789711674
FBDB15K_r02,FBDB15K,0.2,type_mismatch,530,0.2682575687906652,0.024038617299268504,0.09625519812107086,0.27356860041618347,0.3126828968524933,0.26252884322179937,0.023020346592893016,0.09625518321990967,0.268194243311882,0.29352718591690063,0.2013239324936327,0.06964010223790613,0.1452830284833908,0.18340502679347992,0.7112343311309814,0.2678896561124415,0.02396110787793639,0.09625519812107086,0.27349281311035156,0.32799506187438965,1.3667200969320155,0.03702212958386372,1.3719930373706002,530,0.23165933817343892,0.041950561345799324,0.09625519812107086,0.24380776286125183,0.3042835295200348,0.2706012839416288,0.03808423042431138,0.09625519812107086,0.26679758727550507,0.33620187640190125,0.18641381003665475,0.07697353481383089,0.10328961908817291,0.1780596822500229,0.7112343311309814,0.3113255682700085,0.058637061922105244,0.09625519812107086,0.28391094505786896,0.48024052381515503,1.34358785092948,0.04375086560804241,1.3539975470528347,530,-0.03659823061722629,0.04035134853043695,-0.12287771701812744,-2.9802322387695312e-08,0.00041237473487854004,0.008072440719829415,0.023767791448546183,-0.03362390398979187,0.0,0.04557284712791443,-0.014910122456977952,0.021527939018328328,-0.08455508947372437,-1.4901161193847656e-08,0.0014112889766693115,0.04343591215756704,0.05048261722545467,-2.9802322387695312e-08,2.9802322387695312e-08,0.16379022598266602,0.14006530767672298,0.15324780676036953,1.3014435624627972e-06
FBDB15K_r02,FBDB15K,0.2,low_degree,3518,0.2633056780995802,0.01244292977643617,0.12711523473262787,0.26325514912605286,0.300876259803772,0.25998558974049185,0.012299925193802127,0.12683027982711792,0.25991325080394745,0.29468801617622375,0.21365957223027182,0.035244468262279886,0.14615456759929657,0.2123550847172737,0.6189490556716919,0.26304916081491553,0.012358956437863862,0.12710542976856232,0.2628978192806244,0.2975609302520752,1.3791360923247487,0.013025553423783994,1.3819701949336674,3518,0.20289705110255327,0.03715131495146464,0.11191911995410919,0.19612421840429306,0.29397931694984436,0.25037332372596954,0.03389080079642016,0.12637165188789368,0.23342325538396835,0.3324819803237915,0.19953474378707803,0.04374034037946919,0.11304924637079239,0.2050875872373581,0.6189490556716919,0.34719488096294787,0.047813962276378984,0.12710542976856232,0.36870452761650085,0.4570499658584595,1.3457613480247623,0.020824531369848867,1.343570276883561,3518,-0.060408626997026954,0.03363011801367528,-0.1160232424736023,-0.06935454159975052,0.00040443241596221924,-0.009612266014522284,0.027610369107371083,-0.03715240955352783,-0.02833542227745056,0.04899129271507263,-0.014124828443193788,0.0205053905847289,-0.08838534355163574,-0.0004027709364891052,0.0007052570581436157,0.08414572014803233,0.04756148625916138,-5.960464477539063e-08,0.11387775838375092,0.15948903560638428,0.21072767861985178,0.11547390091217975,0.24971649032069965
